x, x_dot, theta, theta_dot, u
0, 0, 0.785398, 0, -0.69554
0, -0.0456131, 0.785398, 0.284228, -0.0893257
-0.00228066, -0.0668426, 0.79961, 0.555525, 0.62728
-0.00562278, -0.056937, 0.827386, 0.814054, 0.905277
-0.00846963, -0.0381132, 0.868089, 1.07522, 1.05963
-0.0103753, -0.0142044, 0.92185, 1.34426, 1.15735
-0.0110855, 0.0142312, 0.989063, 1.62437, 1.21717
-0.010374, 0.0477212, 1.07028, 1.91782, 1.2431
-0.0079879, 0.0874066, 1.16617, 2.22618, 1.22965
-0.00361757, 0.134811, 1.27748, 2.55024, 1.15621
0.003123, 0.191444, 1.40499, 2.89, 0.948309
0.0126952, 0.257159, 1.54949, 3.24457, -0.210956
0.0255532, 0.29484, 1.71172, 3.61164, -1.15169
0.0402952, 0.321031, 1.8923, 3.9785, -1.46832
0.0563467, 0.358696, 2.09123, 4.33633, -1.66795
0.0742815, 0.405737, 2.30805, 4.67294, -1.80785
0.0945683, 0.454279, 2.54169, 4.96966, -1.90449
0.117282, 0.491481, 2.79017, 5.20031, -1.96306
0.141856, 0.501506, 3.05019, 5.33396, -1.98441
0.166932, 0.470483, 3.31689, 5.34435, -1.96773
0.190456, 0.393284, 3.58411, 5.22321, -1.91165
0.21012, 0.277275, 3.84527, 4.98711, -1.81385
0.223984, 0.139056, 4.09462, 4.67012, -1.6679
0.230937, -0.00312587, 4.32813, 4.30858, -1.45306
0.23078, -0.134976, 4.54356, 3.93058, -1.08358
0.224031, -0.246069, 4.74009, 3.55406, 0.469864
0.211728, -0.282625, 4.91779, 3.18721, 1.11088
0.197597, -0.284596, 5.07715, 2.82749, 1.28348
0.183367, -0.268289, 5.21852, 2.47957, 1.3567
0.169953, -0.238274, 5.3425, 2.14701, 1.38317
0.158039, -0.198265, 5.44985, 1.83221, 1.38113
0.148126, -0.151421, 5.54146, 1.53638, 1.35887
0.140555, -0.100298, 5.61828, 1.25968, 1.32029
0.13554, -0.0468562, 5.68127, 1.00124, 1.26661
0.133197, 0.00744922, 5.73133, 0.759438, 1.19658
0.133569, 0.0615194, 5.7693, 0.532105, 1.10571
0.136645, 0.114412, 5.7959, 0.316787, 0.983151
0.142366, 0.165016, 5.81174, 0.111062, 0.801204
0.150617, 0.211233, 5.8173, -0.0868412, 0.463039
0.161178, 0.2462, 5.81295, -0.27547, -0.291324
0.173488, 0.246695, 5.79918, -0.442425, -0.740384
0.185823, 0.230582, 5.77706, -0.602852, -0.961481
0.197352, 0.208968, 5.74692, -0.766956, -1.1072
0.207801, 0.184552, 5.70857, -0.93911, -1.21567
0.217028, 0.158255, 5.66161, -1.12243, -1.30085
0.224941, 0.130308, 5.60549, -1.31954, -1.36865
0.231456, 0.100516, 5.53952, -1.53271, -1.42124
0.236482, 0.0683073, 5.46288, -1.76389, -1.45838
0.239897, 0.0327229, 5.37469, -2.01465, -1.47758
0.241534, -0.00760892, 5.27395, -2.28604, -1.47318
0.241153, -0.0544701, 5.15965, -2.5786, -1.43339
0.23843, -0.109953, 5.03072, -2.89218, -1.32953
0.232932, -0.176074, 4.88611, -3.22593, -1.05367
0.224128, -0.252731, 4.72482, -3.57821, 0.761903
0.211492, -0.281318, 4.54591, -3.94566, 1.41379
0.197426, -0.316257, 4.34862, -4.31267, 1.69289
0.181613, -0.364319, 4.13299, -4.66918, 1.87423
0.163397, -0.420342, 3.89953, -4.99991, 2.00036
0.14238, -0.473228, 3.64953, -5.28152, 2.08395
0.118719, -0.506783, 3.38546, -5.48238, 2.12867
0.0933794, -0.503189, 3.11134, -5.56855, 2.13475
0.06822, -0.450097, 2.83291, -5.51763, 2.10144
0.0457151, -0.347942, 2.55703, -5.33291, 2.02778
0.028318, -0.210811, 2.29038, -5.04421, 1.91164
0.0177775, -0.0592598, 2.03817, -4.69272, 1.74538
0.0148145, 0.0883591, 1.80354, -4.31453, 1.50232
0.0192324, 0.219834, 1.58781, -3.93395, 1.05671
0.0302241, 0.326394, 1.39111, -3.56489, -0.812716
0.0465438, 0.346892, 1.21287, -3.20581, -1.24489
0.0638885, 0.341135, 1.05258, -2.85985, -1.38254
0.0809452, 0.318599, 0.909587, -2.53202, -1.43737
0.0968752, 0.283905, 0.782986, -2.22579, -1.45067
0.11107, 0.240881, 0.671697, -1.94351, -1.43816
0.123115, 0.19266, 0.574521, -1.68635, -1.40756
0.132748, 0.141667, 0.490204, -1.45439, -1.36309
0.139831, 0.0896795, 0.417484, -1.24686, -1.30705
0.144315, 0.0379556, 0.355141, -1.06229, -1.24044
0.146213, -0.0126278, 0.302027, -0.898842, -1.16317
0.145581, -0.0614296, 0.257085, -0.754508, -1.07397
0.14251, -0.107909, 0.21936, -0.627289, -0.970003
0.137114, -0.151483, 0.187995, -0.515368, -0.845799
0.12954, -0.19133, 0.162227, -0.417281, -0.690868
0.119974, -0.226042, 0.141363, -0.332191, -0.484131
0.108672, -0.252861, 0.124753, -0.260464, -0.190741
0.0960285, -0.266427, 0.11173, -0.20461, 0.149942
0.0827072, -0.263123, 0.101499, -0.166069, 0.388098
0.069551, -0.248701, 0.093196, -0.139567, 0.530071
0.057116, -0.22835, 0.0862176, -0.120541, 0.618689
0.0456985, -0.204595, 0.0801906, -0.106624, 0.675099
0.0354687, -0.178769, 0.0748594, -0.0964732, 0.709107
0.0265303, -0.15169, 0.0700357, -0.0892212, 0.725244
0.0189457, -0.123951, 0.0655747, -0.0842402, 0.725066
0.0127482, -0.0960578, 0.0613626, -0.0810174, 0.707826
0.00794529, -0.068537, 0.0573118, -0.0790673, 0.670119
0.00451845, -0.0420539, 0.0533584, -0.0778322, 0.604137
0.00241575, -0.0176273, 0.0494668, -0.0765128, 0.492508
0.00153438, 0.0028524, 0.0456412, -0.0736699, 0.293343
0.001677, 0.0151291, 0.0419577, -0.0660892, -0.0633375
0.00243346, 0.0105415, 0.0386532, -0.0472261, -0.443772
0.00296053, -0.0111712, 0.0362919, -0.0167426
